  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      366        0.805        5.626            0      324.220      107.960      201.452
      367        0.807        5.627            0      328.272      106.091      197.656
      368        0.827        5.647            0      326.579      120.406      202.263
      369        0.858        5.598            0      326.552      107.249      202.782
      370        0.772        5.544            0      324.102      104.787      202.520
      371        0.732        5.587            0      326.607       97.759      200.515
      372        0.750        5.596            0      325.796      105.803      204.817
      373        0.872        5.678            0      324.187      100.171      200.382
      374        0.950        5.568            0      323.316      109.424      195.642
      375        0.789        5.600            0      326.815      101.440      199.002
      376        0.962        5.629            0      326.506       93.471      201.490
      377        0.757        5.486            0      323.309      102.540      204.110
      378        0.820        5.608            0      321.431      107.038      194.987
      379        0.726        5.561            0      326.319      106.203      199.537
      380        0.822        5.610            0      323.858      102.184      197.423
      381        0.706        5.581            0      325.659      103.109      201.551
      382        0.792        5.568            0      326.074      102.808      203.821
      383        0.849        5.609            0      324.396      105.150      200.903
      384        0.824        5.645            0      325.173      100.112      200.702
      385        0.811        5.567            0      324.066      110.428      196.771
      386        1.037        5.521            0      324.845      125.178      202.381
      387        1.145        5.627            0      326.346      126.788      199.649
      388        1.028        5.576            0      325.202      116.217      204.794
      389        0.964        5.532            0      324.164      141.083      198.107
      390        0.799        5.526            0      325.674      131.503      209.472
      391        0.799        5.632            0      326.506       96.921      202.607
      392        0.734        5.611            0      326.329      111.586      204.099
      393        0.854        5.594            0      324.639       98.142      201.597
      394        0.863        5.630            0      326.038       95.617      202.642
      395        0.905        5.641            0      326.617       88.782      201.583
      396        0.785        5.656            0      324.287       97.538      200.280
      397        0.902        5.597            0      328.555       96.020      198.883
      398        0.788        5.631            0      324.156       98.545      204.204
      399        0.853        5.683            0      326.161       99.079      201.945
      400        0.903        5.645            0      328.826      141.976      206.878
      401        0.939        5.615            0      327.174      122.766      199.693
      402        0.814        5.576            0      325.201      116.582      202.156
      403        0.779        5.626            0      327.661      117.882      202.238
      404        0.731        5.554            0      322.446       95.111      200.704
      405        0.809        5.582            0      327.716      106.176      202.743
      406        0.883        5.539            0      326.289      103.224      198.577
      407        0.866        5.518            0      324.206      131.804      202.105
      408        0.796        5.604            0      325.999      124.816      200.672
      409        0.790        5.640            0      325.352      124.644      201.321
      410        0.819        5.611            0      323.724      113.955      197.518
      411        0.770        5.621            0      325.435      110.352      204.069
      412        0.699        5.546            0      323.322      113.910      202.507
      413        0.758        5.614            0      326.525      132.835      204.483
      414        0.950        5.586            0      325.430      127.563      204.774
      415        0.860        5.559            0      323.259      119.652      203.296
      416        0.788        5.652            0      327.324      127.601      203.882
      417        0.795        5.559            0      326.757      124.417      200.712
      418        0.800        5.651            0      327.230      125.685      203.016
      419        0.824        5.541            0      322.470      120.026      205.378
      420        0.757        5.540            0      325.017      140.179      201.004
      421        0.822        5.563            0      323.640      111.523      202.098
      422        0.832        5.712            0      326.769      129.575      198.821
